Supercharger,Street Address ?,City,State,Zip,Country,Stalls,GPS,Elev.(m),Status,Open Date,Tesla,Discuss
"Aire de Saint-Priest, France",null,Saint-Priest,,,France,6,"45.698042, 4.975513",236,Open,null,SC,forum
"Memphis, TN",null,Memphis,TN,38119,USA,8,"35.097801, -89.858957",95,Open,null,SC,thread
"Kunming Panlong - Junfa Center, China",null,Kunming,Yunnan,,China,6,"25.063389, 102.723335","1,900",Open,null,SC,thread
"Hope, BC",null,Hope,BC,V0X 1L0,Canada,6,"49.37829, -121.442822",44,Open,null,SC,thread
"Cordes Lakes, AZ",null,Mayer,AZ,86333,USA,8,"34.327131, -112.118432","1,150",Open,null,SC,thread
"Beatty, NV",null,Beatty,NV,89003,USA,8,"36.913718, -116.754371","1,011",Open,null,SC,thread
"San Marcos, TX",null,San Marcos,TX,78666,USA,5,"29.827692, -97.979677",202,Open,null,SC,forum
"Edinburgh Airport, UK",null,Edinburgh,,,United Kingdom,2,"55.945361, -3.366667",32,Open,null,SC,forum
"Green Bay, WI",null,Green Bay,WI,,USA,8,"44.535432, -88.077779",188,Construction,null,SC,thread
"Mogliano Veneto, Italy",null,Mogliano Veneto,,,Italy,8,"45.584722, 12.287137",5,Open,null,SC,forum
"Graz, Austria",null,Graz,,8042,Austria,4,"47.037208, 15.478644",348,Open,null,SC,thread
"Birmingham-Hopwood Park, UK",null,Birmingham,,B48 7AU,United Kingdom,6,"52.363197, -1.945572",125,Open,null,SC,thread
"Clearwater, MN",null,Clearwater,MN,55320,USA,8,"45.411899, -94.054852",304,Open,null,SC,thread
"Uckerfelde, Germany",null,Uckerfelde,,17291,Germany,4,"53.23499, 13.98606",68,Open,null,SC,thread
"Shanghai-Kempinski Hotel, China",null,Shanghai,Shanghai,200120,China,4,"31.242218, 121.504775",7,Open,null,SC,forum
"Bolingbrook, IL",null,Bolingbrook,IL,,USA,8,"41.722189, -88.037278",226,Open,null,SC,thread
"Corsicana, TX",null,Corsicana,TX,75109,USA,6,"32.068577, -96.448229",132,Open,null,SC,forum
"Alexandria, LA",null,Alexandria,LA,71301,USA,8,"31.312424, -92.446436",23,Open,null,SC,thread
"Amsterdam, Netherlands",null,Amsterdam,,1101 GG,Netherlands,12,"52.31061, 4.936187",-3,Open,null,SC,thread
"Birchanger Green, UK",null,Birchanger Green,,CM23 5QZ,United Kingdom,4,"51.871619, 0.193886",93,Open,null,SC,thread
"Cagnes-sur-Mer, France",null,Cagnes-sur-Mer,,6800,France,4,"43.666446, 7.127372",31,Open,null,SC,forum
"Kamloops, BC",null,Kamloops,BC,V2C 6R3,Canada,4,"50.655233, -120.368302",616,Open,null,SC,thread
"Baton Rouge, LA",null,Baton Rouge,LA,70808,USA,6,"30.423892, -91.154637",10,Open,null,SC,thread
"Eurotunnel, France",null,Coquelles,,62231,France,4,"50.935031, 1.812951",6,Open,null,SC,thread
"Zevenaar, Netherlands",null,Zevenaar,,6902 PL,Netherlands,8,"51.94066, 6.0818",10,Open,null,SC,forum
"Toijala, Finland",null,Akaa,,37800,Finland,4,"61.181106, 23.885075",89,Open,null,SC,thread
"Shanghai-Hongqiao, China",null,Shanghai,Shanghai,201105,China,4,"31.164991, 121.330498",6,Open,null,SC,forum
"Bayonne, France",null,Bayonne,,64100,France,8,"43.493245, -1.452739",6,Open,null,SC,forum
"Mt. Gilead, OH",null,Mt. Gilead,OH,43338-9548,USA,8,"40.494024, -82.712896",354,Open,null,SC,thread
"Barnsley, UK",null,Barnsley,South Yorkshire,S75 3DQ,United Kingdom,2,"53.489393, -1.486223",176,Open,null,SC,thread
Aix-en-Provence - Val de l'Arc,null,Aix-en-Provence,,,France,8,"43.511938, 5.466433",149,Open,null,SC,forum
"Caudan, France",null,Caudan,,56850,France,8,"47.788035, -3.331263",27,Open,null,SC,forum
"Zhuhai - Holiday Resort Hotel, China",null,Zhuhai,Guangdong,,China,6,"22.237179, 113.582603",4,Open,null,SC,forum
"Tonopah, NV",null,Tonopah,NV,89049,USA,8,"38.069801, -117.232243","1,834",Open,null,SC,thread
"San Giovanni Teatino, Italy",null,San Giovanni Teatino,,66020,Italy,8,"42.398959, 14.16518",144,Open,null,SC,forum
"Buena Park, CA",null,Buena Park,CA,90621,USA,8,"33.863379, -117.99103",25,Open,null,SC,thread
"Osage Beach, MO",null,Osage Beach,MO,65065,USA,8,"38.162028, -92.605238",242,Open,null,SC,thread
"Chapelle-sur-Erdre, France",null,La Chapelle-sur-Erdre,,44240,France,8,"47.282708, -1.549982",28,Open,null,SC,forum
"Quartzsite, AZ",null,Quartzsite,AZ,85346,USA,8,"33.661314, -114.242174",280,Open,null,SC,forum
"Columbus, TX",null,Columbus,TX,78934,USA,6,"29.690062, -96.537725",57,Open,null,SC,forum
"Taipei, Taiwan",null,Taipei,,,Taiwan,6,"25.06867, 121.52126",7,Open,null,SC,forum
"Jackson, WY",null,Jackson,WY,83001,USA,8,"43.463995, -110.794875","1,868",Open,null,SC,thread
"Yiwu, China",null,Yiwu,Zhejiang,322000,China,4,"29.301123, 120.084763",73,Open,null,SC,forum
"Cisco, TX",null,Cisco,TX,76437,USA,8,"32.374263, -99.007197",513,Open,null,SC,thread
"Seaside, CA",null,Seaside,CA,93955,USA,6,"36.616759, -121.844014",10,Open,null,SC,thread
"Kingsville, TX",null,Kingsville,TX,78363,USA,8,"27.493808, -97.844399",17,Open,null,SC,thread
"Hangzhou Euro America Center, China",null,Hangzhou,Zhejiang,310012,China,2,"30.273066, 120.137204",12,Open,null,SC,forum
"Shantou-Zhongyeda, China",null,Shantou,Guangdong,515065,China,4,"23.42132, 116.716884",6,Open,null,SC,forum
"Qingdao - Jinmao Bay, China",null,Qingdao,Shandong,,China,2,"36.064564, 120.300291",26,Open,null,SC,forum
"Karlskrona, Sweden",null,Karlskrona,,,Sweden,2,"56.165403, 15.585989",4,Open,null,SC,thread
"Beijing - Wucai City, China",null,Beijng,Beijng,,China,6,"40.02943, 116.334763",47,Open,null,SC,forum
"Plattsburgh, NY",null,Plattsburgh,NY,12901,USA,8,"44.704537, -73.491829",94,Open,null,SC,thread
"Flatonia, TX",null,Flatonia,TX,78941,USA,8,"29.697904, -97.099993",128,Open,null,SC,thread
"E-Max, Hong Kong",null,Hong Kong,Hong Kong,,China,8,"22.324074, 114.20381",21,Open,null,SC,forum
"Clermont-Ferrand, France",null,Clermont-Ferrand,,63100,France,8,"45.785937, 3.141488",332,Open,null,SC,forum
"Fuzhou Qiankun Automobile Store, China",null,Fuzhou,Fujian,,China,2,"26.052778, 119.344273",11,Open,null,SC,forum
"Austin, TX",null,Austin,TX,78752,USA,8,"30.326125, -97.707112",220,Construction,null,SC,thread
"Rubigen, Switzerland",null,Rubigen,,3113,Switzerland,6,"46.891778, 7.542771",524,Open,null,SC,thread
"Rockford, IL",null,Rockford,IL,61112,USA,6,"42.243896, -88.978877",238,Open,null,SC,thread
"Laramie, WY",null,Laramie,WY,82070,USA,8,"41.325312, -105.619418","2,181",Construction,null,SC,thread
"Töcksfors, Sweden",null,Töcksfors,,,Sweden,12,"59.509437, 11.822381",118,Open,null,SC,forum
"Hamilton Marketplace, NJ",null,Hamilton Township,NJ,8691,USA,6,"40.195539, -74.641375",21,Open,null,SC,thread
"Bersteland, Germany",null,Bersteland,,15910,Germany,4,"51.949095, 13.787957",54,Open,null,SC,thread
"Childress, TX",null,Childress,TX,79201,USA,9,"34.432426, -100.218676",580,Open,null,SC,forum
"Somerset, PA",null,Somerset,PA,15501,USA,6,"40.017383, -79.077117",640,Open,null,SC,thread
"Münchberg-Nord, Germany",null,Münchberg,,95213,Germany,6,"50.202872, 11.776552",593,Open,null,SC,forum
"Oosterhout, Netherlands",null,Oosterhout,,4904 SJ,Netherlands,8,"51.626423, 4.869517",7,Open,null,SC,forum
"Petaluma, CA",null,Petaluma,CA,94952,USA,12,"38.242693, -122.625049",8,Open,null,SC,thread
"Cabazon, CA",null,Cabazon,CA,92230,USA,10,"33.93129, -116.820041",620,Open,null,SC,thread
"Kingsland, GA",null,Kingsland,GA,31548,USA,6,"30.790764, -81.663729",8,Open,null,SC,thread
"Dows, IA",null,Dows,IA,50071,USA,8,"42.673838, -93.462294",360,Open,null,SC,thread
"Lindale, TX",null,Lindale,TX,75771,USA,8,"32.470885, -95.450473",167,Open,null,SC,thread
"Leonberg-Ost, Germany",null,Leonberg,,71229,Germany,8,"48.785104, 9.017632",371,Open,null,SC,thread
"Columbia, MO",null,Columbia,MO,65201,USA,8,"38.958728, -92.252464",254,Open,null,SC,thread
"Paramus, NJ",null,Paramus,NJ,7652,USA,8,"40.957429, -74.07408",15,Open,null,SC,thread
"Oxnard, CA",null,Oxnard,CA,93036,USA,18,"34.238654, -119.177398",24,Open,null,SC,thread
"Dugo Selo, Croatia",null,Rugvica,,10370,Croatia,6,"45.766601, 16.233971",99,Construction,null,SC,thread
"Lincoln, NE",null,Lincoln,NE,68521,USA,8,"40.860817, -96.679723",368,Open,null,SC,thread
"Strasbourg, France",null,Ostwald,,67400,France,8,"48.534041, 7.702054",144,Open,null,SC,forum
"Traun, Austria",null,Traun,,4050,Austria,4,"48.237012, 14.240255",273,Open,null,SC,forum
"Burbank, CA",null,Burbank,CA,91502,USA,6,"34.174712, -118.300826",168,Open,null,SC,thread
"Shenzhen - KK Mall, China",null,Shenzhen,Guangdong,,China,6,"22.543369, 114.107193",16,Open,null,SC,forum
"Las Vegas, NM",null,Las Vegas,NM,87701,USA,6,"35.621267, -105.204598","1,970",Open,null,SC,thread
"Saint-Romuald, QC",null,Saint-Romuald,QC,G6W 5M6,Canada,10,"46.73032, -71.26821",40,Construction,null,SC,thread
"Pleasant Prairie, WI",null,Pleasant Prairie,WI,53158,USA,8,"42.518715, -87.950428",216,Open,null,SC,thread
"Macau, China",null,Macau,Macau,,China,4,"22.141222, 113.5626",0,Open,null,SC,forum
"Nagano ??, Japan",null,Nagano,,,Japan,4,"36.572115, 138.200325",349,Open,null,SC,forum
"Ludington, MI",null,Ludington,MI,,USA,8,"43.957103, -86.376093",197,Open,null,SC,forum
"Tarrytown, NY",null,Tarrytown,NY,10591,USA,12,"41.061499, -73.836411",51,Open,null,SC,thread
"Oklahoma City, OK",null,Oklahoma City,OK,,USA,8,"35.461704, -97.651445",372,Open,null,SC,thread
"Gundagai, Australia",null,Gundagai,NSW,2722,Australia,6,"-35.002153, 148.109873",259,Open,null,SC,thread
"Savannah, GA",null,Savannah,GA,31408,USA,6,"32.135507, -81.212767",6,Open,null,SC,thread
"Aberdeen, MD",null,Aberdeen,MD,21001,USA,8,"39.498017, -76.231196",76,Construction,null,SC,thread
"Liezen, Austria",null,Liezen,,8940,Austria,8,"47.55952, 14.251709",630,Open,null,SC,thread
"Sanya - Mingzhu, China",null,Sanya,Hainan,,China,6,"18.257536, 109.503349",5,Open,null,SC,forum
"St. Charles, MO",null,St. Charles,MO,63303,USA,5,"38.782139, -90.532862",149,Open,null,SC,thread
"Cadillac, MI",null,Cadillac,MI,49601,USA,8,"44.282551, -85.403096",393,Open,null,SC,thread
"Eidfjord, Norway",null,Eidfjord,,5783,Norway,8,"60.467438, 7.068209",6,Open,null,SC,forum
"Wytheville, VA",null,Wytheville,VA,,USA,6,"36.945795, -81.054406",683,Open,null,SC,thread
"Waco, TX",null,Bellmead,TX,76705,USA,8,"31.58224, -97.10915",124,Open,null,SC,forum
"Peru, IL",null,Peru,IL,61354,USA,8,"41.348503, -89.126115",195,Open,null,SC,thread
"Sacramento, CA",null,Sacramento,CA,95834,USA,10,"38.637729, -121.49718",4,Permit,null,SC,thread
"Hedensted, Denmark",null,Hedensted,,,Denmark,16,"55.786395, 9.667926",63,Open,null,SC,thread
"Beckenried, Switzerland",null,Beckenried,,,Switzerland,6,"46.971497, 8.459258",439,Open,null,SC,thread
"Kamen, Germany",null,Kamen,,59174,Germany,8,"51.570176, 7.675168",73,Open,null,SC,thread
"Cooma, Australia",null,Cooma,,,Australia,4,"-36.235522, 149.126794",793,Open,null,SC,forum
"El Paso, TX",null,El Paso,TX,79932,USA,8,"31.8839, -106.58379","1,180",Open,null,SC,thread
"Tokyo Koto-ku, Japan",null,Tokyo,,,Japan,4,"35.617639, 139.776917",19,Open,null,SC,forum
"Mitchell, SD",null,Mitchell,SD,57301,USA,6,"43.701129, -98.0445",410,Open,null,SC,forum
"Wonju, South Korea",null,???,,,South Korea,6,"37.435072, 127.818718",296,Open,null,SC,forum
Wenzhou Oubei Pullman Hotel,null,Wenzhou,Zhejiang,325102,China,8,"28.035995, 120.640254",1,Open,null,SC,forum
Zhuhai Xiangzhou - Yuanguang Software Park,null,Zhuhai,Hong Kong,519085,China,2,"22.373647, 113.561454",0,Open,null,SC,forum
Shanghai Zhabei - Jinmao Palace,null,Zhabei District,Shanghai,,China,2,"31.285446, 121.455614",4,Open,null,SC,forum
"Woodburn, OR",null,Woodburn,OR,97071,USA,8,"45.15313, -122.881254",56,Open,null,SC,forum
"Heyuan - Hilton Hotel, China",null,Heyuan,Guangdong,517000,China,4,"23.767788, 114.719269",41,Open,null,SC,forum
"Worthington, MN",null,Worthington,MN,56187,USA,6,"43.63385, -95.595647",478,Open,null,SC,thread
"Shanghai - Golden Jaguar Hotel, China",null,Shanghai,Shanghai,,China,2,"31.188299, 121.375579",8,Open,null,SC,forum
"Arboga, Sweden",null,Arboga,,732 95,Sweden,8,"59.426307, 15.827684",20,Open,null,SC,thread
"Folkestone, UK",null,Folkestone,Kent,CT18 8XX,United Kingdom,4,"51.096752, 1.121336",66,Open,null,SC,thread
"Marshall, MI",null,Marshall,MI,49068,USA,8,"42.29238, -84.96299",289,Open,null,SC,thread
"Truckee, CA",null,Truckee,CA,96161,USA,6,"39.327507, -120.207373","1,967",Open,null,SC,thread
"Washington, UK",null,Washington,,NE37 1LB,United Kingdom,8,"54.88762, -1.557413",78,Open,null,SC,thread
"Hamilton, New Zealand",null,Hamilton,,3200,New Zealand,4,"-37.74754, 175.23248",36,Open,null,SC,forum
"Mishawaka, IN",null,Mishawaka,IN,46545,USA,6,"41.7174, -86.1887",234,Open,null,SC,thread
"Victor, NY",null,Victor,NY,14564,USA,8,"43.028655, -77.440128",208,Open,null,SC,thread
"Dombås, Norway",null,Dombås,,2660,Norway,8,"62.073923, 9.125562",659,Open,null,SC,forum
"Bowling Green, KY",null,Bowling Green,KY,42104,USA,8,"36.955196, -86.438854",162,Open,null,SC,thread
"Milford, CT (south)",null,Milford,CT,6460,USA,2,"41.246232, -73.010529",19,Open,null,SC,forum
"Yangjiang - Hualuxe, China",null,Yangjiang,Guangdong,,China,4,"21.851158, 111.986061",43,Open,null,SC,forum
"Zarechye, Russia",null,Zarechye,,,Russia,4,"55.695089, 37.380206",160,Open,null,SC,forum
"Council Bluffs, IA",null,Council Bluffs,IA,51501,USA,8,"41.220005, -95.836123",301,Open,null,SC,thread
"Vinstra, Norway",null,Vinstra,,2640,Norway,12,"61.59022, 9.723966",275,Open,null,SC,thread
"Salzburg, Austria",null,Salzburg,,5081,Austria,6,"47.726937, 13.060702",411,Open,null,SC,thread
"Achern, Germany",null,Achern,,77855,Germany,6,"48.641373, 8.03762",134,Open,null,SC,thread
"Hawthorne, CA",null,Hawthorne,CA,90250,USA,12,"33.921068, -118.330054",18,Open,null,SC,thread
"Tokyo, Japan",null,Tokyo,,6/10/2003,Japan,2,"35.65951, 139.72853",34,Open,null,SC,forum
"Reading, UK",null,Reading,,RG2 6UG,United Kingdom,4,"51.420611, -0.988028",40,Open,null,SC,forum
"Gaoxin Xi'an, China",null,Xi'an,Shaanxi,,China,4,"34.221073, 108.897087",409,Open,null,SC,forum
"Woodstock, ON",null,Woodstock,ON,N4V 1E5,Canada,8,"43.111918, -80.738804",291,Open,null,SC,thread
"Murcia, Spain",null,Murcia,,30009,Spain,6,"38.038172, -1.149343",109,Open,null,SC,forum
"Ningbo - Roman, China",null,Ningbo,Zhejiang,,China,6,"29.799688, 121.546448",5,Open,null,SC,forum
"Bourges, France",null,Bourges,,,France,8,"47.049393, 2.344843",154,Open,null,SC,forum
"St. Joseph, MI",null,St. Joseph,MI,49085,USA,8,"42.056357, -86.456352",210,Open,null,SC,thread
"Cranbury, NJ",null,Cranbury,NJ,8512,USA,4,"40.32244, -74.4869",34,Open,null,SC,thread
"Innsbruck, Austria",null,Innsbruck,,6020,Austria,6,"47.264861, 11.428453",567,Open,null,SC,forum
"Naples, FL",null,Naples,FL,34102,USA,8,"26.14462, -81.788849",2,Open,null,SC,thread
"Neuberg, Germany",null,Neuberg,,63526,Germany,6,"50.181752, 9.007483",139,Open,null,SC,thread
"Manzanares, Spain",null,Manzanares,,,Spain,8,"39.006855, -3.382999",656,Construction,null,SC,thread
"Tejon Ranch, CA",null,Lebec,CA,93243,USA,10,"34.98734, -118.94623",337,Open,null,SC,thread
"Meridian, MS",null,Meridian,MS,39301,USA,8,"32.35778, -88.671246",123,Open,null,SC,thread
"Aartselaar, Belgium",null,Aartselaar,,2630,Belgium,6,"51.136964, 4.37737",9,Open,null,SC,thread
"Squamish, BC",null,Squamish,BC,V8B 0G2,Canada,6,"49.736901, -123.134573",35,Open,null,SC,thread
"Silverthorne, CO",null,Silverthorne,CO,80498,USA,8,"39.631457, -106.070816","2,670",Open,null,SC,forum
"Charleston, WV",null,Charleston,WV,25301,USA,8,"38.354712, -81.642845",181,Open,null,SC,thread
"Fountain Valley, CA",null,Fountain Valley,CA,92708,USA,8,"33.70278, -117.934127",11,Open,null,SC,thread
"Wiener Neustadt, Austria",null,Wiener Neustadt,,,Austria,10,"47.804883, 16.210756",271,Open,null,SC,forum
"Sørkjosen, Norway",null,Sørkjosen,,9152,Norway,6,"69.79237, 20.938262",4,Open,null,SC,forum
"Yuma, AZ",null,Yuma,AZ,85364,USA,8,"32.726686, -114.619093",43,Open,null,SC,thread
"South Mimms, UK",null,Potters Bar,,EN6 3QQ,United Kingdom,12,"51.686939, -0.221744",89,Open,null,SC,thread
"Urmond, Netherlands",null,Urmond,,6129 EL,Netherlands,12,"50.988101, 5.780597",57,Open,null,SC,thread
"Wernberg-Köblitz, Germany",null,Wernberg-Köblitz,,92533,Germany,6,"49.532694, 12.134861",391,Open,null,SC,forum
"Sidney, NE",null,Sidney,NE,69162,USA,8,"41.115424, -102.949694","1,291",Open,null,SC,thread
"Mühldorf, Germany",null,Mühldorf,,84453,Germany,4,"48.272993, 12.551161",404,Open,null,SC,thread
"Lusk, WY",null,Lusk,WY,82225,USA,4,"42.75625, -104.45267","1,529",Open,null,SC,thread
"Cangzhou Yunhe - Yihe Hotel, China",null,Cangzhou,Hebei,,China,2,"38.276826, 116.812668",5,Open,null,SC,forum
"Augusta, GA",null,Augusta,GA,30907,USA,8,"33.515004, -82.044443",89,Open,null,SC,thread
"Southampton, NY",null,Southampton,NY,11968,USA,8,"40.891909, -72.426995",14,Open,null,SC,thread
"Yoho Mall, Hong Kong, China",null,Hong Kong,Hong Kong,,China,4,"22.44377, 114.036864",2,Open,null,SC,forum
"Limon, CO",null,Limon,CO,80828,USA,6,"39.268842, -103.708604","1,652",Open,null,SC,thread
"Dordrecht, Netherlands",null,Dordrecht,,,Netherlands,12,"51.774427, 4.652006",-3,Open,null,SC,thread
"Süderholz, Germany",null,Süderholz,,18516,Germany,4,"54.092811, 13.085489",16,Open,null,SC,thread
"Lohne, Germany",null,Lohne (Oldenburg),,49393,Germany,8,"52.657639, 8.169059",27,Open,null,SC,thread
"Kostom?oty, Poland",null,Kostom?oty,,,Poland,4,"51.036946, 16.583294",160,Open,null,SC,thread
"Gillette, WY",null,Gillette,WY,82718,USA,4,"44.29301, -105.526628","1,400",Open,null,SC,thread
"Nebbenes, Norway",null,Eidsvoll Verk,,2074,Norway,20,"60.312269, 11.145104",209,Open,null,SC,thread
"Shreveport, LA",null,Shreveport,LA,71104,USA,8,"32.478594, -93.75437",59,Open,null,SC,thread
"Cambridge, OH",null,Cambridge,OH,43725,USA,8,"40.00357, -81.575043",242,Construction,null,SC,thread
"Gilroy, CA",null,Gilroy,CA,95020,USA,16,"37.02493, -121.56542",63,Open,null,SC,forum
"Stoke-on-Trent Northbound, UK",null,"Newcastle, Staffordshire",,ST5 5HG,United Kingdom,8,"52.9932, -2.2892",155,Construction,null,SC,thread
"Lleida, Spain",null,Catalunya,,25123,Spain,6,"41.663959, 0.605371",203,Open,null,SC,forum
"Elveden, UK",null,Elveden,,IP24 3TP,United Kingdom,8,"52.38641, 0.664606",40,Open,null,SC,forum
"Chengdu UBO, China",null,Chengdu,Sichuan,610016,China,2,"30.593119, 104.067362",498,Open,null,SC,forum
"Tordesillas, Spain",null,Valladolid,,,Spain,8,"41.516234, -4.942131",696,Construction,null,SC,thread
"Stockholm Infracity (SC), Sweden",null,Stockholm,,,Sweden,2,"59.500624, 17.926818",28,Open,null,SC,thread
"Weimar, Germany",null,Weimar,,99428,Germany,6,"50.933645, 11.289118",346,Open,null,SC,forum
"Aire de Châteauvillain - Val Marnay, France",null,Châteauvillain,,52120,France,6,"48.057341, 4.959604",256,Open,null,SC,forum
"Barstow, CA",null,Barstow,CA,92311,USA,16,"34.849129, -117.085446",725,Open,null,SC,thread
"Varazze, Italy",null,Varazze,,17019,Italy,6,"44.351747, 8.565401",16,Open,null,SC,forum
"Shanghai Qingpu - Mega Mills, China",null,Shanghai,Shanghai,,China,6,"31.150778, 121.230195",2,Open,null,SC,forum
"Truckee-Brockway Rd, CA",null,Truckee,CA,96161,USA,8,"39.321865, -120.1621","1,801",Open,null,SC,thread
"Greenwich, CT (south)",null,Greenwich,CT,6830,USA,4,"41.040555, -73.673445",81,Open,null,SC,thread
"Waldlaubersheim, Germany",null,Waldlaubersheim,,55444,Germany,8,"49.923972, 7.825736",221,Open,null,SC,thread
"Jackson, TN",null,Jackson,TN,38305,USA,8,"35.660349, -88.855771",100,Open,null,SC,thread
"Porsgrunn, Norway",null,Porsgrunn,,,Norway,8,"59.122098, 9.707564",33,Open,null,SC,thread
"Braak, Germany",null,Braak,,22145,Germany,8,"53.617854, 10.239499",49,Open,null,SC,thread
"L´Aldea, Spain",null,L´Aldea,,,Spain,6,"40.753019, 0.606421",32,Open,null,SC,forum
"Syracuse, NY",null,Liverpool,NY,13088,USA,8,"43.102516, -76.187475",123,Open,null,SC,thread
"Beaver, UT",null,Beaver,UT,84713,USA,4,"38.249149, -112.652524","1,790",Open,null,SC,thread
"Guangzhou Tianhe Haixinsha, China",null,Guangzhou,Guangdong,,China,8,"23.112923, 113.32822",0,Open,null,SC,forum
"Athens, AL",null,Athens,AL,35611,USA,8,"34.785443, -86.942964",207,Open,null,SC,thread
"Dayton, OH",null,Dayton,OH,45445,USA,8,"39.858702, -84.277027",257,Open,null,SC,thread
"Bernin, France",null,Bernin,,38190,France,8,"45.265676, 5.876448",238,Open,null,SC,forum
"Green River, UT",null,Green River,UT,84525,USA,4,"38.993577, -110.140513","1,240",Open,null,SC,thread
"Huizhou - Longhai, China",null,Huizhou,Guangdong,,China,4,"22.978951, 114.452499",17,Open,null,SC,forum
"Tianjin - Wisdom Valley, China",null,Tianjin,Tianjin,300384,China,4,"39.093114, 117.119933",4,Open,null,SC,forum
"Steg-Hohtenn, Switzerland",null,Steg-Hohtenn,,3940,Switzerland,8,"46.310323, 7.74971",631,Open,null,SC,thread
"Forte dei Marmi, Italy",null,Forte dei Marmi,,55042,Italy,6,"43.956416, 10.194539",6,Open,null,SC,forum
"Santa Rosa, NM",null,Santa Rosa,NM,88435,USA,6,"34.947013, -104.647997","1,440",Open,null,SC,thread
"Grand Island, NE",null,Grand Island,NE,68803,USA,8,"40.829973, -98.379822",574,Open,null,SC,thread
"Collégien, France",null,Collégien,,,France,8,"48.830877, 2.678019",106,Open,null,SC,forum
"Bay City, MI",null,Bay City,MI,48706,USA,8,"43.622061, -83.932241",181,Open,null,SC,thread
"Mogendorf, Germany",null,Mogendorf,,56424,Germany,8,"50.482676, 7.75006",315,Open,null,SC,thread
"Moers, Germany",null,Moers,,47447,Germany,8,"51.440431, 6.610193",28,Open,null,SC,thread
"Sagamore, MA",null,Sagamore,MA,2562,USA,8,"41.781242, -70.540271",26,Open,null,SC,thread
"Kettleman City, CA",null,Kettleman City,CA,93239,USA,40,"35.987651, -119.962336",100,Permit,null,SC,thread
"Drummondville, QC",null,Drummondville,QC,J2C 6Y7,Canada,8,"45.899084, -72.51942",84,Open,null,SC,thread
"Rungis, France",null,Rungis,,94150,France,6,"48.754456, 2.351036",89,Open,null,SC,forum
"Merritt, BC",null,Merritt,BC,V1K 0A4,Canada,8,"50.124377, -120.751136",634,Open,null,SC,thread
"Lier (north), Norway",null,Lier,,3400,Norway,8,"59.770833, 10.262139",17,Open,null,SC,forum
"Ozona, TX",null,Ozona,TX,76943,USA,6,"30.706696, -101.195962",718,Open,null,SC,thread
"West Yellowstone, MT",null,West Yellowstone,MT,59758,USA,8,"44.656089, -111.099022","2,034",Open,null,SC,thread
"Jiangmen-Idear Hanyu, China",null,Jiangmen,Guangdong,,China,4,"22.560246, 113.1381",-2,Open,null,SC,forum
"Vierumäki, Finland",null,Vierumäki,,19110,Finland,4,"61.111599, 25.928814",144,Open,null,SC,forum
"Topeka, KS",null,Topeka,KS,66614,USA,8,"39.044199, -95.76046",283,Open,null,SC,thread
"Laiguangying, Beijing, China",null,Beijing,Beijing,100012,China,4,"40.031033, 116.448334",41,Open,null,SC,forum
Suzhou - Wuzhong,null,Suzhou,Jiangsu,,China,6,"31.202799, 120.557442",3,Open,null,SC,forum
"Äänekoski, Finland",null,Koivisto,,44250,Finland,4,"62.516908, 25.691666",107,Open,null,SC,thread
"Bristol - Cribbs Causeway, UK",null,Bristol,,BS34 5QU,United Kingdom,2,"51.526694, -2.599806",65,Open,null,SC,forum
"Greenville, SC",null,Greenville,SC,29607,USA,8,"34.825895, -82.306973",304,Open,null,SC,thread
"Dundee, UK",null,Dundee,,DD2 5JT,United Kingdom,8,"56.466428, -3.062962",20,Open,null,SC,forum
"Setermoen, Norway",null,Bardu,,9365,Norway,6,"68.860238, 18.348918",80,Open,null,SC,forum
"Chicago-Lakeshore East, IL",null,Chicago,IL,60601,USA,10,"41.886458, -87.620262",177,Construction,null,SC,thread
"Groveland, CA",null,Groveland,CA,95321,USA,7,"37.838679, -120.23199",865,Open,null,SC,thread
"Hashima, Japan",null,Hashima,,,Japan,4,"35.303584, 136.691785",2,Open,null,SC,forum
"Narbonne, France",null,Narbonne,,11100,France,8,"43.167693, 2.986012",15,Open,null,SC,forum
"Erie, PA",null,Erie,PA,16509,USA,8,"42.049602, -80.086345",358,Open,null,SC,thread
"Roseville, CA",null,Roseville,CA,95678,USA,7,"38.771208, -121.266149",66,Open,null,SC,thread
"Lillehammer, Norway",null,Lillehammer,,2619,Norway,10,"61.13045, 10.43491",159,Open,null,SC,forum
"Kingman, AZ",null,Kingman,AZ,86401,USA,6,"35.191331, -114.065592","1,025",Open,null,SC,thread
"Orgeval, France",null,Orgeval,,78630,France,4,"48.925026, 1.996508",76,Open,null,SC,forum
"Auburn, MA",null,Auburn,MA,1501,USA,8,"42.203608, -71.832516",156,Open,null,SC,thread
"Chengdu - Gaoxin, China",null,Chengdu,Sichuan,,China,9,"30.588559, 104.029497",487,Open,null,SC,forum
"Egerkingen, Switzerland",null,Egerkingen,,4622,Switzerland,10,"47.327083, 7.805583",503,Open,null,SC,thread
"Canmore, AB",null,Canmore,AB,T1W 1L7,Canada,4,"51.100208, -115.359179","1,320",Open,null,SC,thread
"Aksdal, Norway",null,Aksdal,,5570,Norway,8,"59.423006, 5.44306",41,Open,null,SC,thread
"Lille, France",null,Lille,,59810,France,8,"50.583875, 3.088602",58,Open,null,SC,forum
"Slavonski Brod, Croatia",null,Gornja Vrba,,35207,Croatia,6,"45.175641, 18.063889",96,Construction,null,SC,forum
